note_id,kind,parent_module,parent_id,created,title
4478198000142867001,call-summary,,4478198000108276276,2026-08-14T10:12:41-04:00,"Call Summary - 8/14/2026"
4478198000142753001,sms,,4478198000108276276,2026-08-13T14:57:15-04:00,"SMS: Mr. Danny Test - ""Talkingvet: Hi [Name], this is [Agent] from Talkingvet. Thanks for your interest..."""
4478198000142419025,sms,,4478198000108276276,2026-08-11T12:22:32-04:00,"SMS: Mr. Danny Test - ""Hello"""
4478198000142327053,sms,,4478198000108276276,2026-08-10T16:49:59-04:00,"SMS: Mr. Danny Test - ""After hours test"""
4478198000142321070,sms,,4478198000108276276,2026-08-10T16:34:26-04:00,"SMS: 2395959310 - ""Test"""
4478198000142320032,sms,,4478198000108276276,2026-08-10T16:36:36-04:00,"SMS: Mr. Danny Test - ""STOP"""
4478198000142276097,sms,,4478198000108276276,2026-08-10T16:36:11-04:00,"SMS: Mr. Danny Test - ""Hi is this BTI Voice?"""
4478198000142275047,sms,,4478198000108276276,2026-08-10T17:10:28-04:00,"SMS: Mr. Danny Test - """""
4478198000142268057,sms,,4478198000108276276,2026-08-10T17:11:29-04:00,"SMS: Mr. Danny Test - """""
4478198000142264064,sms,,4478198000108276276,2026-08-10T16:37:07-04:00,"SMS: Mr. Danny Test - ""START"""
4478198000142258052,sms,,4478198000108276276,2026-08-10T16:40:29-04:00,"SMS: Mr. Danny Test - ""Talkingvet: Hi [Name], we received your support request and our team is on it. W..."""
4478198000133868015,call-summary,,4478198000021708094,2026-04-27T16:06:19-04:00,"Call Summary - 4/27/2026"
4478198000133862009,call-summary,,4478198000021708094,2026-04-26T15:33:10-04:00,"Call Summary - 4/26/2026"
4478198000133499001,call-summary,,4478198000021708094,2026-04-20T10:20:40-04:00,"Call Summary — 4/20/2026"
4478198000133152001,call-summary,,4478198000021708094,2026-04-16T17:00:08-04:00,"Call Summary — 4/16/2026"
4478198000133109001,call-summary,,4478198000004372705,2026-04-16T11:27:46-04:00,"Call Summary — 4/16/2026"
4478198000133099001,call-summary,,4478198000004372172,2026-04-16T10:48:30-04:00,"Call Summary — 4/16/2026"
4478198000133094006,call-summary,,4478198000021708094,2026-04-16T17:01:03-04:00,"Call Summary — 4/16/2026"
4478198000133094001,call-summary,,4478198000006861264,2026-04-16T10:38:24-04:00,"Call Summary — 4/16/2026"
4478198000133088006,call-summary,,4478198000006860262,2026-04-16T10:36:43-04:00,"Call Summary — 4/16/2026"
4478198000132897003,call-summary,,4478198000034488001,2026-04-15T13:47:54-04:00,"Call Summary — 4/15/2026"
4478198000132850004,sms,,4478198000021708094,2026-04-15T18:17:47-04:00,"SMS: 2395959310 — ""/"""
4478198000132809005,call-summary,,4478198000101828238,2026-04-15T14:26:51-04:00,"Call Summary — 4/15/2026"
4478198000132767009,call-summary,,4478198000021708094,2026-04-14T17:05:42-04:00,"Call Summary — 4/14/2026"
4478198000132537001,call-summary,,4478198000021708094,2026-04-09T16:30:27-04:00,"Call Summary — 4/9/2026"
